	A0A081BKX9_9LACO	A0A083WSF6_9FLAO	A0A0D0YUU5_9LACO	A0A0H4LAX2_9LACO	A0A0J5P9G6_9LACT	A0A0R1K630_9LACO	A0A0R1MNC7_9LACO	A0A0R1RFJ4_9LACO	A0A0R1RRH5_9LACO	A0A0R1S2S1_9LACO	A0A0R1WWN2_9LACO	A0A0R2DGS6_9LACO	A0A0R2DLB6_9LACO	A0A0R2FVI8_9LACT	A0A0R2HM97_9FIRM	A0A0R2HZC9_9LACO	A0A0R2I8Q5_9LACO	A0A0R2JSC5_9LACO	A0A133YDF1_9FIRM	A0A1E5KUU0_9ENTE	A0A1G9IV55_9CLOT	A0A1I0EHL5_9FIRM	A0A1P8Q111_9LACO	A0A1T4LEJ3_9ENTE	A0A1X4N9Z9_9PROT	A0A1Y4G2J4_9ACTN	A0A261F7M3_9BIFI	A0A2A2AHF0_9BURK	A0A2K2U9X6_9ACTN	B5CL59_9FIRM	C2D302_LACBR	D4J3S7_9FIRM	E0NI75_PEDAC	E1QW44_OLSUV	E2SS22_9FIRM	F7UWL3_EEGSY	G2KVM6_LACSM	I7L6U4_9LACO	J9W3C2_LACBU	M4YX12_STREQ	R5FLM1_9ACTN	R5RU71_9CLOT	R5SXF4_9CLOT	R6I3U9_9ACTN	R6ZAM8_9CLOT	R7GMQ9_9FIRM	R7I2K1_9CLOT	R7N9S8_9FIRM	R9MHT9_9FIRM	T0UPW4_9STRE	T0UXW1_9STRE	U2VD49_9ACTN	W9EE99_9LACO	X0QNI0_9LACO
A0A0R2HM97_9FIRM	172.46852108295775		166.6382721639824	207.5228787452804	169.55284196865782	144.2441251443275	159.10790539730948	158.25963731050575	163.92081875395237	165.88605664769315	158.95860731484174	167.7958800173441	141.34678748622466	181.7447274948967	1000000.0	183.85387196432174	172.37675070960208	171.52287874528034	126.85387196432177	169.7958800173441	167.95860731484174	1000000.0	229.9208187539524	126.72124639904716		205.6777807052661	167.33724216831845		210.6777807052661	188.5528419686578	164.31875876262438	187.7958800173441	162.65757731917782	189.21467016498923		189.25963731050572	171.85387196432174	148.92081875395237	164.14266750356873	178.20065945054642	180.9208187539524	175.3098039199715	181.56863623584098	189.5850266520292	191.9208187539524	1000000.0	277.5086383061657	212.15490195998572	187.45593195564973	68.53760200210104	86.14874165128094	186.06550154875646	177.431798275933	174.4814860601221
A0A0R2HZC9_9LACO	1000000.0		1000000.0	189.69897000433602	211.36653154442038	301.8860566476932	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	228.02227639471118	186.46852108295772	1000000.0	1000000.0	1000000.0	119.39794000867205	158.37675070960208	164.55284196865782	187.7695510786217	196.19382002601608	121.6575773191778	5.508638306165726	155.7695510786217	188.56863623584098	9.795880017344077	151.16115090926274	185.15490195998572	1000000.0	185.18708664335716	1000000.0	158.45593195564973		157.85387196432174	1000000.0	1000000.0	1000000.0	162.88605664769315	143.31875876262438	181.44369749923268	180.56863623584098	165.20760831050174	186.42021640338317	169.74472749489667	170.22914798835785	147.42021640338317	178.25963731050575	60.45593195564973	85.60205999132795	157.7695510786217	1000000.0	214.2518119729938
A0A0R2I8Q5_9LACO	1000000.0		1000000.0	190.5228787452804	212.61978875828842	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	292.29242982390207	215.82390874094432	174.85387196432174	1000000.0	1000000.0	1000000.0	117.06550154875644	157.11918640771918	158.48148606012208	161.3565473235138	191.0	136.33724216831845		153.60205999132796	189.63827216398238	6.3187587626244115	156.52287874528034	164.82390874094432	1000000.0	163.7958800173441	1000000.0	159.0	3.6197887582883936	159.3665315444204	1000000.0	1000000.0	1000000.0	164.01322826573374	154.74472749489667	163.95860731484174	169.31875876262438	154.48148606012208	174.19382002601608	175.56863623584098	180.46852108295772	154.88605664769315	161.7958800173441	58.522878745280345	90.01322826573376	159.52287874528034	1000000.0	217.7447274948967
A0A0R2JSC5_9LACO	1000000.0		1000000.0	180.6777807052661	211.06048074738138	298.0	307.4948500216801	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	259.8860566476932	210.23657200643703	172.82390874094432	1000000.0	1000000.0	1000000.0	122.50863830616571	151.13076828026902	132.31875876262438	175.31875876262438	192.61978875828842	117.48148606012212		150.25963731050575	168.48148606012208	6.619788758288393	154.3565473235138	159.95860731484174	1000000.0	157.82390874094432	1000000.0	155.52287874528034		156.431798275933	1000000.0	315.61978875644445	1000000.0	159.7695510786217	145.13076828026902	159.88605664769315	156.33724216831845	153.16115090926274	161.92081875395237	164.23657200643706	160.82390874094432	142.69897000433602	155.0268721464003	59.20065945054642	85.38721614328027	157.39794000867204	1000000.0	196.69897000433602
A0A133YDF1_9FIRM	123.16749108729375		109.45593195564972	128.79588001734407	102.53760200210104	113.0	111.79588001734407	108.30980391997149	112.88605664769315	117.92081875395235	114.56863623584101	120.22184874961636	114.4948500216801	104.95860731484177	127.8239087409443	118.88605664769315	116.30980391997149	123.58502665202921	1000000.0	149.42021640338317	105.39794000867205	130.0506099933551	108.46852108295776	113.431798275933		143.0506099933551	115.08618614761627		143.18045606445813	128.10790539730948	119.92081875395235	130.568636235841	110.85387196432177	122.34678748622466		138.568636235841	124.4089353929735	115.05060999335508	122.19382002601613	212.42021640338317	133.6197887582884	122.0087739243075	122.95860731484177	133.4948500216801	128.95860731484177	126.34678748622466	133.38721614328026	133.95860731484177	127.48148606012212	66.27572413039921	105.0409586076789	123.8239087409443	129.92081875395235	98.92081875395235
A0A1E5KUU0_9ENTE	162.22914798835785		147.32790214206432	152.65757731917782	146.09691001300806	136.38721614328026	132.53760200210104	141.58502665202914	154.7695510786217	145.3098039199715	152.2006594505464	158.6777807052661	130.7695510786217	143.60205999132796	169.74472749489667	157.15490195998575	156.03621217265444	151.0409586076789	150.00436480540242	1000000.0	123.52287874528034	153.03151705144606	152.58502665202914	198.60205999132802		158.00877392430755	139.1249387366083	4.070581074285707	159.72124639904717	147.92081875395237	143.85387196432174	144.07058107428568	140.0	147.09151498112138		146.0268721464003	153.30102999566398	150.85387196432174	145.13076828026902	221.02227639471118	155.4948500216801	141.3665315444204	145.2924298239021	150.431798275933	145.6197887582884	169.92081875395237	174.7447274948967	151.85387196432174	148.2518119729938	66.52287874528034	107.92081875395235	144.82390874094432	138.20065945054642	136.88605664769315
A0A1I0EHL5_9FIRM	155.85387196432174		166.22914798835785	199.5086383061657	165.6382721639824	133.33724216831845	139.72124639904717	158.12493873660833	156.13076828026902	155.08618614761627	156.26760624017703	153.1487416512809	149.92081875395237	171.95860731484177	1000000.0	184.0809219076239	157.568636235841	173.2365720064371	129.02227639471116	153.03621217265444	182.88605664769312	1000000.0	214.2839966563652	117.5528419686578		185.0	146.74472749489667	5.823908740944319	190.56863623584098	188.34678748622463	151.6197887582884	185.69897000433602	163.32790214206432	174.2518119729938		171.95860731484177	176.33724216831845	146.85387196432174	160.30102999566398	167.44369749923268	179.63827216398238	177.17392519729918	183.56863623584098	192.69897000433602	186.20065945054642	1000000.0	255.7447274948967	197.37675070960208	190.35654732351378	69.85387196432177	84.0087739243075	182.17392519729918	163.69897000433602	160.6382721639824
A0A1Y4G2J4_9ACTN	137.04575749056067		138.14266750356873	177.40893539297352	164.2518119729938	139.79588001734407	149.88605664769315	149.69897000433602	143.95860731484174	146.7958800173441	146.50863830616572	143.95860731484174	136.58502665202914	157.3098039199715	205.44369749923268	154.44369749923268	153.72124639904717	147.45593195564973	142.7958800173441	160.2441251443275	151.0268721464003	183.37675070960208	179.0506099933551	138.45593195564973		1000000.0	154.431798275933	4.6777807052660805	1000000.0	164.82390874094432	146.88605664769315	163.53760200210104	153.69897000433602	1000000.0		1000000.0	146.6197887582884	153.16749108729377	150.03151705144606	158.44369749923268	1000000.0	169.58502665202914	175.6777807052661	1000000.0	164.3665315444204	190.44369749923268	220.10237290870955	186.7958800173441	161.6382721639824	59.221848749616356	78.42021640338321	1000000.0	151.60205999132796	162.06550154875646
A0A261F7M3_9BIFI	179.27572413039917		158.60205999132796	184.5850266520292	267.65757731917785	163.88605664769315	166.568636235841	169.3565473235138	184.82390874094432	184.9208187539524	182.18045606445813	177.95860731484177	144.30102999566398	277.2596373105057	170.6382721639824	190.0268721464003	190.45593195564973	170.7958800173441	115.88605664769315	141.72124639904717	133.7695510786217	151.21467016498923	213.08618614761627	130.85387196432177		154.06550154875646	1000000.0	6.455931955649724	150.34678748622466	155.50863830616572	180.95860731484177	156.34678748622466	191.2441251443275	157.52287874528034		147.95860731484174	180.35654732351378	182.16749108729374	178.7695510786217	159.44369749923268	155.23657200643706	148.82390874094432	146.69897000433602	152.37675070960208	146.20760831050174	162.74472749489667	151.85387196432174	116.79588001734407	152.37675070960208	48.21467016498924	78.05551732784983	164.0	179.06550154875646	1000000.0
A0A2K2U9X6_9ACTN	142.22184874961638		145.58502665202914	188.69897000433602	166.95860731484174	138.50863830616572	154.7958800173441	147.50863830616572	149.6777807052661	151.88605664769315	145.1938200260161	146.92081875395237	143.85387196432174	155.2839966563652	213.35654732351378	152.21467016498923	157.74472749489667	153.7695510786217	145.6382721639824	163.2518119729938	152.7958800173441	192.7447274948967	183.5850266520292	140.74472749489667		1000000.0	151.02227639471116	4.9586073148417755	1000000.0	165.0	155.85387196432174	163.4948500216801	150.38721614328026	1000000.0		1000000.0	145.72124639904717	154.48148606012208	155.6197887582884	159.95860731484174	1000000.0	163.07572071393813	173.50863830616572	1000000.0	164.88605664769315	195.6777807052661	224.12493873660833	197.5528419686578	158.44369749923268	60.26760624017703	78.74472749489671	1000000.0	163.65757731917782	160.92081875395237
D4J3S7_9FIRM	165.6197887582884		158.6382721639824	161.42021640338317	160.23657200643706	148.6382721639824	155.95860731484174	160.3565473235138	174.82390874094432	166.88605664769315	170.0409586076789	164.55284196865782	149.2924298239021	170.45593195564973	190.45593195564973	185.44369749923268	164.72124639904717	160.34678748622466	132.0	147.07058107428568	1000000.0	189.31875876262438	171.95860731484177	115.46852108295776	10.0	164.7958800173441	156.00436480540242	6.420216403383191	162.48148606012208	1000000.0	158.50863830616572	1000000.0	175.34678748622468	157.16115090926274		160.431798275933	167.13076828026902	174.40893539297352	169.52287874528034	160.08618614761627	156.48148606012208	1000000.0	1000000.0	176.63827216398238	1000000.0	192.7447274948967	182.4814860601221	156.22184874961638	1000000.0	68.4089353929735	71.25963731050575	156.7695510786217	172.39794000867204	160.3098039199715
E0NI75_PEDAC	1000000.0		1000000.0	183.13076828026902	211.2518119729938	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	205.69897000433602	165.0	1000000.0	1000000.0	1000000.0	112.79588001734407	141.74472749489667	165.72124639904717	168.6777807052661	196.10237290870955	109.6382721639824		154.4089353929735	190.5528419686578	9.221848749616356	150.25963731050575	186.40893539297352	1000000.0	175.72124639904717	1000000.0	151.2006594505464		160.2441251443275	1000000.0	1000000.0	1000000.0	165.13076828026902	142.15490195998575	170.55284196865782	179.431798275933	158.37675070960208	167.1487416512809	177.85387196432174	173.4948500216801	152.3565473235138	182.10237290870955	51.76955107862173	84.6382721639824	148.4089353929735	1000000.0	207.33724216831845
F7UWL3_EEGSY	144.2839966563652		158.45593195564973	186.07572071393815	161.1487416512809	150.06550154875646	149.6197887582884	152.6777807052661	154.85387196432174	159.4089353929735	158.04575749056067	156.06048074738138	154.05551732784986	159.65757731917782	193.82390874094432	159.2006594505464	160.92081875395237	159.92081875395237	141.74472749489667	148.42021640338317	153.2924298239021	177.431798275933	193.0268721464003	133.82390874094432		1000000.0	148.74472749489667	4.113509274827518	1000000.0	162.39794000867204	156.10237290870955	162.18045606445813	161.31875876262438	1000000.0		1000000.0	157.3665315444204	163.22184874961638	163.58502665202914	158.0506099933551	1000000.0	148.85387196432174	168.85387196432174	1000000.0	150.0	191.5528419686578	221.56863623584098	182.7695510786217	161.0506099933551	59.4089353929735	80.92081875395237	1000000.0	163.11350927482755	146.3665315444204
G2KVM6_LACSM	1000000.0		1000000.0	182.61978875828842	216.0315170514461	290.0315170514461	299.6197887582884	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	263.65757731917785	205.9208187539524	173.2839966563652	1000000.0	1000000.0	1000000.0	124.69897000433602	153.85387196432174	152.88605664769315	178.69897000433602	195.4814860601221	118.88605664769315	3.026872146400301	149.69897000433602	177.95860731484177	6.494850021680094	146.72124639904717	163.6777807052661	1000000.0	165.85387196432174	1000000.0	152.2839966563652		154.23657200643706	1000000.0	1000000.0	1000000.0	157.1938200260161	142.48148606012208	163.95860731484174	168.0506099933551	158.26760624017703	165.0	166.3565473235138	163.42021640338317	139.2518119729938	160.3665315444204	62.67778070526607	88.61978875828841	165.568636235841	1000000.0	204.7958800173441
J9W3C2_LACBU	1000000.0		1000000.0	187.5086383061657	204.61978875828842	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	205.17392519729918	167.7958800173441	1000000.0	1000000.0	1000000.0	123.8239087409443	145.88605664769315	159.2839966563652	165.4948500216801	190.7695510786217	114.2839966563652		150.7695510786217	178.26760624017703	3.769551078621726	155.38721614328026	170.06550154875646	1000000.0	169.72124639904717	1000000.0	163.2757241303992		162.92081875395237	1000000.0	1000000.0	1000000.0	161.18708664335713	149.15490195998575	164.69897000433602	177.61978875828842	168.95860731484174	167.18708664335713	167.92081875395237	164.0809219076239	152.37675070960208	169.88605664769315	53.06048074738138	89.95860731484177	164.95860731484174	1000000.0	195.56863623584098
R6I3U9_9ACTN	143.88605664769315		155.74472749489667	183.95860731484177	165.0409586076789	144.10237290870955	155.15490195998575	156.15490195998575	159.6382721639824	161.14266750356873	167.431798275933	156.4948500216801	160.7958800173441	151.95860731484174	193.69897000433602	166.92081875395237	156.12493873660833	157.0809219076239	136.3098039199715	154.4089353929735	154.85387196432174	197.56863623584098	187.7212463990472	139.3665315444204	4.769551078621727	1000000.0	153.13667713987954	6.2839966563652006	1000000.0	179.2839966563652	156.30102999566398	178.2441251443275	159.92081875395237	1000000.0		1000000.0	161.55284196865782	161.11918640771918	170.14266750356873	162.11918640771918	1000000.0	163.10237290870955	169.60205999132796	1000000.0	167.30102999566398	191.9208187539524	216.88605664769312	177.00877392430752	167.18045606445813	58.76955107862173	79.431798275933	1000000.0	159.31875876262438	156.0
R7GMQ9_9FIRM	172.42021640338317		168.88605664769315	203.14266750356876	172.0	143.431798275933	150.32790214206432	154.52287874528034	152.50863830616572	160.60205999132796	150.45593195564973	163.85387196432174	156.6382721639824	181.42021640338317	1000000.0	168.88605664769315	175.44369749923268	164.7695510786217	128.10790539730948	172.0809219076239	167.12493873660833	1000000.0	221.7695510786217	122.5528419686578		191.2441251443275	160.6197887582884	4.4685210829577455	193.7212463990472	196.16749108729374	158.72124639904717	191.69897000433602	176.92081875395237	178.0315170514461		188.7695510786217	166.82390874094432	159.7695510786217	166.4948500216801	172.7447274948967	181.85387196432174	183.2518119729938	183.82390874094432	189.36653154442038	192.21467016498923	1000000.0	260.32790214206426	201.05551732784986	194.3098039199715	66.79588001734407	83.4948500216801	171.06550154875646	159.25963731050575	170.12493873660833
R7I2K1_9CLOT	166.72124639904717		163.69897000433602	223.63827216398238	160.3665315444204	152.95860731484174	153.08618614761627	154.7958800173441	167.55284196865782	160.60205999132796	164.7958800173441	159.01322826573374	142.92081875395237	160.30102999566398	277.0809219076239	168.1487416512809	178.2518119729938	159.3098039199715	133.14874165128091	176.56863623584098	177.30102999566398	254.95860731484177	226.0	131.03151705144606		217.7447274948967	148.13076828026902	6.7447274948966935	220.30102999566398	185.7212463990472	159.88605664769315	180.20065945054642	169.95860731484174	190.19382002601608		217.25963731050572	161.06550154875646	152.6382721639824	160.13076828026902	179.15490195998572	200.13076828026902	178.45593195564973	190.9208187539524	212.88605664769312	186.38721614328026	257.39794000867204	1000000.0	1000000.0	168.10790539730948	60.76955107862173	85.20065945054641	203.85387196432174	165.14266750356873	142.11918640771918
T0UPW4_9STRE	57.031517051446066		48.29242982390206	62.6575773191778	56.537602002101046	48.16749108729376	45.568636235841005	50.886056647693174	51.886056647693174	46.30980391997149	54.0	52.10790539730952	51.12493873660829	53.08618614761628	69.76955107862173	59.58502665202919	58.522878745280345	59.886056647693174	66.22184874961636	67.95860731484177	52.92081875395238	71.74472749489671	68.35654732351381	43.853871964321755		58.92081875395238	48.34678748622466		59.67778070526607	69.65757731917779	47.55284196865778	67.95860731484177	50.958607314841785	58.221848749616356		58.16749108729376	62.130768280269024	50.04095860767891	51.886056647693174	164.14266750356873	52.82390874094432	53.568636235841005	53.387216143280256	57.92081875395238	62.886056647693174	66.76955107862173	61.958607314841785	52.853871964321755	61.82390874094432	1000000.0		55.92081875395238	61.10790539730952	51.46852108295774
